Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Oil field brine,Qianjiang Formation 118,"Jianghan Basin, China",0.0406599999999999,0.06016,120.4256,1.02006,0.2843,7.7172,191.2492,1.4795868175110676,321.7236244579199
Oil field brine,Qianjiang Formation 119,"Jianghan Basin, China",0.0429,0.046,108.9028,0.8591200000000001,0.16602,8.03286,172.8296,1.072261072261072,291.7229295072
Oil field brine,Qianjiang Formation 120,"Jianghan Basin, China",0.06106,0.10662,115.1884,3.3438799999999995,0.94806,2.54082,182.7964,1.7461513265640354,306.19948688399995
Oil field brine,Qianjiang Formation 121,"Jianghan Basin, China",0.01298,0.09474,75.50919999999999,0.64154,0.5293,8.18028,119.5204,7.298921417565485,205.10303678544
Oil field brine,Qianjiang Formation 122,"Jianghan Basin, China",0.02302,0.03302,84.874,1.133,0.2548,8.053439999999998,134.24480000000003,1.434404865334492,229.047373442
Oil field brine,Qianjiang Formation 123,"Jianghan Basin, China",0.0382599999999999,0.03294,112.424,0.8012,0.14262,6.853200000000001,177.6396,0.8609513852587559,298.87242799848
Oil field brine,Qianjiang Formation 124,"Jianghan Basin, China",0.04026,0.05926,97.7664,1.00828,0.29116,8.1411,154.14919999999998,1.4719324391455542,262.3155095072
Oil field brine,Qianjiang Formation 125,"Jianghan Basin, China",0.0243999999999999,0.0070199999999999,75.376,0.4432999999999999,0.0025,3.92916,118.8452,0.2877049180327868,198.87724
Oil field brine,Qianjiang Formation 126,"Jianghan Basin, China",0.02334,0.04502,126.9388,1.2881999999999998,0.30244,11.58,199.456,1.9288774635818335,340.45927193328
Oil field brine,Qianjiang Formation 127,"Jianghan Basin, China",0.03168,0.00492,71.01520000000001,0.5936,0.00808,6.960780000000001,111.5216,0.1553030303030303,190.76509435936
Oil field brine,Qianjiang Formation 128,"Jianghan Basin, China",0.04706,0.00248,101.19,0.78034,0.01448,5.106300000000001,158.838,0.0526986825329366,266.57017999999994
Oil field brine,Qianjiang Formation 129,"Jianghan Basin, China",0.05212,0.00398,111.508,0.97898,0.02472,7.485659999999999,174.9184,0.0763622409823484,295.62034
Oil field brine,Qianjiang Formation 130,"Jianghan Basin, China",0.0486599999999999,0.18188,101.7208,1.3454,0.90344,3.7596,159.462,3.7377722975750105,268.49061153903995
Oil field brine,Qianjiang Formation 131,"Jianghan Basin, China",0.06138,0.00098,118.8564,1.09862,0.00718,8.35512,185.6244,0.0159661127403062,314.71578
Oil field brine,Qianjiang Formation 132,"Jianghan Basin, China",0.0278,0.0146,85.63759999999999,0.51184,0.01872,7.23894,133.6056,0.525179856115108,227.51794091736
Oil field brine,Qianjiang Formation 133,"Jianghan Basin, China",0.03328,0.0500999999999999,76.7404,0.5830599999999999,0.01304,8.790959999999998,119.3684,1.5054086538461535,206.16862445792
Oil field brine,Qianjiang Formation 134,"Jianghan Basin, China",0.018,0.02198,79.07119999999999,1.28212,0.13596,9.85278,122.4424,1.2211111111111113,213.64051416224
Oil field brine,Qianjiang Formation 135,"Jianghan Basin, China",0.04704,0.04788,114.7364,2.08052,0.22646,6.237779999999999,177.1576,1.017857142857143,301.553880326
Oil field brine,Qianjiang Formation 136,"Jianghan Basin, China",0.0444599999999999,0.05116,113.1032,1.28668,0.33918,6.126,174.51760000000002,1.150697255960414,296.81578891584
Oil field brine,Qianjiang Formation 137,"Jianghan Basin, China",0.108,0.07,124.93,2.31,0.52,4.82,192.0,0.6481481481481483,325.0
Oil field brine,Qianjiang Formation 138,"Jianghan Basin, China",0.0381199999999999,0.12346,93.962,0.6671800000000001,0.4946399999999999,6.13344,143.8164,3.2387198321091297,246.32043527672
Oil field brine,Qianjiang Formation 139,"Jianghan Basin, China",0.04304,0.07224,111.0356,1.1341,0.37884,9.26508,169.6952,1.678438661710037,292.61722052312007
Oil field brine,Qianjiang Formation 140,"Jianghan Basin, China",0.075,0.09,123.8,1.06,0.61,5.36,189.0,1.2,320.5
Oil field brine,Qianjiang Formation 141,"Jianghan Basin, China",0.0250799999999999,0.03854,58.8548,1.67804,0.31274,1.52556,89.3968,1.536682615629984,152.64228799848
Oil field brine,Qianjiang Formation 142,"Jianghan Basin, China",0.0320199999999999,0.0141199999999999,117.3276,2.28202,0.16532,11.574,178.02120000000002,0.4409743910056215,310.67729003032
Oil field brine,Qianjiang Formation 143,"Jianghan Basin, China",0.0116199999999999,0.04772,73.3352,0.6861,0.5074,1.6872599999999998,111.2416,4.106712564543891,188.27729003032
Oil field brine,Qianjiang Formation 144,"Jianghan Basin, China",0.065,0.07,125.36,3.36,0.34,9.19,190.0,1.076923076923077,333.0
Oil field brine,Qianjiang Formation 145,"Jianghan Basin, China",0.04,0.21,62.84,0.37,0.47,4.8,94.89,5.25,163.9
Oil field brine,Qianjiang Formation 146,"Jianghan Basin, China",0.04892,0.0,111.7196,0.91742,0.00928,7.08906,167.7756,0.0,289.64843219104
Oil field brine,Qianjiang Formation 147,"Jianghan Basin, China",0.03682,0.05478,117.9588,1.02552,0.3616,22.3968,176.3968,1.4877783813145031,319.03729921152
Oil field brine,Qianjiang Formation 148,"Jianghan Basin, China",0.0331999999999999,0.08606,90.3868,1.08498,0.5148199999999999,6.484199999999999,135.1052,2.5921686746987955,234.66011527672
Oil field brine,Qianjiang Formation 149,"Jianghan Basin, China",0.01754,0.0302999999999999,92.9412,1.11564,0.15612,5.388059999999999,137.79880000000003,1.727480045610034,238.17757678544
Oil field brine,Qianjiang Formation 150,"Jianghan Basin, China",0.01072,0.1249,58.9164,0.42466,0.64078,3.3254399999999995,86.4832,11.651119402985076,150.474286884
Oil field brine,Qianjiang Formation 151,"Jianghan Basin, China",0.081,0.07,82.26,0.51,0.22,10.4,120.0,0.8641975308641976,214.0
Oil field brine,Qianjiang Formation 152,"Jianghan Basin, China",0.025,0.09582,115.642,1.04686,0.16588,13.14276,168.0132,3.8328,298.97417639120005
Oil field brine,Qianjiang Formation 153,"Jianghan Basin, China",0.029,0.0419599999999999,92.6036,0.7914800000000001,0.21076,29.3076,132.52120000000002,1.4468965517241374,256.35907901440004
Oil field brine,Qianjiang Formation 154,"Jianghan Basin, China",0.059,0.02,121.21,0.79,0.16,28.34,166.7,0.3389830508474576,318.0
Oil field brine,Qianjiang Formation 155,"Jianghan Basin, China",0.01992,0.02634,99.7656,1.10488,0.1149599999999999,10.3566,147.42239999999998,1.322289156626506,259.51028537528
Oil field brine,Smackover oilfiled brine 1,"Mississippi, USA",0.048,4.24,55.2,7.56,45.2,0.095,185.5,88.33333333333334,301.35300000000007
Oil field brine,Smackover oilfiled brine 2,"Mississippi, USA",0.08,2.0,74.5,0.65,48.8,0.0,188.9,25.0,320.95
Oil field brine,Smackover oilfiled brine 3,"Mississippi, USA",0.067,2.5,55.2,4.26,34.6,0.146,173.3,37.31343283582089,273.533
Oil field brine,Smackover oilfiled brine 4,"Alabama, USA",0.056,1.69,68.7,5.53,55.3,0.131,205.2,30.178571428571427,340.957
Oil field brine,Smackover oilfiled brine 5,"Alabama, USA",0.049,2.11,75.7,2.73,40.9,0.033,186.3,43.06122448979591,311.77200000000005
Oil field brine,Smackover oilfiled brine 6,"Alabama, USA",0.05,4.16,75.1,0.012,41.0,0.165,190.3,83.2,314.44700000000006
Oil field brine,Smackover oilfiled brine 7,"Alabama, USA",0.061,1.72,75.4,8.0,41.0,0.077,203.1,28.19672131147541,333.798
Oil field brine,Smackover oilfiled brine 8,"Texas, USA",0.1,2.9,25.3,2.86,9.1,0.0,71.2,29.0,114.16
Oil field brine,Smackover oilfiled brine 9,"Arkansas, USA",0.072,2.56,58.8,1.87,44.0,0.42,186.8,35.55555555555556,300.682
Oil field brine,Smackover oilfiled brine 10,"Arkansas, USA",0.035,3.4,47.5,0.47,24.9,0.432,120.0,97.14285714285712,202.09700000000004
Oil field brine,Smackover oilfiled brine 11,"Arkansas, USA",0.021,3.29,68.9,0.74,23.7,0.406,171.3,156.66666666666666,273.547
Oil field brine,Smackover oilfiled brine 12,"Arkansas, USA",0.015,2.65,47.3,0.52,18.2,0.222,121.1,176.66666666666666,192.707
Oil field brine,Smackover oilfiled brine 28,"Arkansas, USA",0.005,3.9,77.6,0.02,28.5,0.166,154.4,780.0,270.16100000000006
Oil field brine,Smackover oilfiled brine 29,"Arkansas, USA",0.022,2.9,42.9,5.19,20.3,0.314,117.7,131.8181818181818,193.804
Oil field brine,Smackover oilfiled brine 30,"Arkansas, USA",0.026,3.17,59.3,0.774,25.1,0.329,132.5,121.92307692307692,225.324
Oil field brine,Smackover oilfiled brine 31,"Arkansas, USA",0.012,2.08,50.9,0.307,18.75,0.325,117.9,173.33333333333334,196.739
Oil field brine,Smackover oilfiled brine 32,"Arkansas, USA",0.024,2.63,58.2,0.716,17.5,0.32,129.4,109.58333333333331,211.61
Oil field brine,Smackover oilfiled brine 33,"Arkansas, USA",0.05,2.78,55.5,0.614,26.4,0.325,133.7,55.6,222.519
Oil field brine,Smackover oilfiled brine 34,"Arkansas, USA",0.034,1.47,21.9,0.204,16.9,0.166,61.2,43.23529411764706,103.052
Oil field brine,Smackover oilfiled brine 67,"Arkansas, USA",0.391,3.84,71.0,6.38,45.0,0.632,211.0,9.820971867007673,345.963
Oil field brine,Smackover oilfiled brine 140,"Arkansas, USA",0.445,2.97,71.4,8.34,45.7,0.548,196.1,6.674157303370787,334.3330000000001
Oil field brine,Smackover oilfiled brine 141,"Arkansas, USA",0.331,1.86,70.7,5.95,46.9,0.64,219.6,5.619335347432024,355.091
Oil field brine,Smackover oilfiled brine 142,"Arkansas, USA",0.108,0.244,66.1,0.163,37.0,0.207,161.5,2.259259259259259,270.482
Oil field brine,Smackover oilfiled brine 143,"Arkansas, USA",0.091,0.123,15.8,0.218,1.84,0.508,31.1,1.3516483516483515,50.26
Oil field brine,Smackover oilfiled brine 145,"Arkansas, USA",0.358,4.23,70.2,4.67,50.4,0.288,210.6,11.81564245810056,347.906
Oil field brine,Smackover oilfiled brine 146,"Arkansas, USA",0.386,3.5,77.9,6.95,43.9,0.32,212.9,9.067357512953368,353.86600000000004
Oil field brine,Smackover oilfiled brine 147,"Arkansas, USA",0.331,4.11,78.4,5.64,43.3,0.254,210.6,12.416918429003022,350.345
Oil field brine,Smackover oilfiled brine 148,"Arkansas, USA",0.357,3.28,78.3,5.81,48.6,0.306,208.5,9.18767507002801,353.063
Oil field brine,Smackover oilfiled brine 149,"Arkansas, USA",0.356,3.36,73.3,4.23,43.5,0.5,218.7,9.438202247191011,353.726
Oil field brine,Smackover oilfiled brine 150,"Arkansas, USA",0.329,3.76,75.7,5.33,40.8,0.836,190.2,11.428571428571429,325.505
Oil field brine,Smackover oilfiled brine 151,"Arkansas, USA",0.403,6.82,73.8,5.26,44.0,0.8,200.2,16.923076923076923,338.633
Oil field brine,Smackover oilfiled brine 153,"Arkansas, USA",0.341,2.23,76.5,7.0,45.4,0.513,217.6,6.539589442815249,357.274
Oil field brine,Smackover oilfiled brine 155,"Arkansas, USA",0.16,4.24,87.1,2.73,43.5,0.201,207.5,26.5,351.79100000000005
Oil field brine,Smackover oilfiled brine 156,"Arkansas, USA",0.276,3.96,76.5,4.09,43.4,0.805,201.6,14.34782608695652,337.881
Oil field brine,Smackover oilfiled brine 157,"Arkansas, USA",0.343,9.54,77.0,5.96,43.6,0.59,210.2,27.813411078717195,354.73299999999995
Oil field brine,Smackover oilfiled brine 158,"Arkansas, USA",0.329,6.9,76.4,5.33,50.0,0.554,214.2,20.972644376899694,361.093
Oil field brine,Smackover oilfiled brine 159,"Arkansas, USA",0.425,3.59,78.6,4.77,45.2,0.398,200.2,8.447058823529412,340.923
Oil field brine,Smackover oilfiled brine 160,"Arkansas, USA",0.44,3.47,69.6,4.36,45.1,0.406,203.2,7.886363636363637,334.97600000000006
Oil field brine,Smackover oilfiled brine 161,"Arkansas, USA",0.412,2.6,73.0,7.46,45.1,0.889,228.2,6.310679611650486,365.211
Oil field brine,Smackover oilfiled brine 191,"Arkansas, USA",0.378,3.6,71.4,5.55,45.7,0.841,201.8,9.523809523809524,332.449
Oil field brine,Smackover oilfiled brine 192,"Arkansas, USA",0.367,4.34,74.0,4.41,44.4,0.276,202.1,11.825613079019073,338.673
Oil field brine,Smackover oilfiled brine 193,"Arkansas, USA",0.34,3.97,64.9,6.23,46.7,0.234,202.7,11.676470588235292,333.564
Oil field brine,Smackover oilfiled brine 194,"Arkansas, USA",0.382,3.25,64.2,11.1,44.6,0.241,200.0,8.507853403141361,331.663
Oil field brine,Smackover oilfiled brine 196,"Arkansas, USA",0.046,4.53,46.8,1.23,22.7,0.166,125.2,98.47826086956522,203.882
Oil field brine,Smackover oilfiled brine 197,"Arkansas, USA",0.062,4.14,43.9,1.24,27.6,0.156,143.9,66.77419354838709,223.689
Oil field brine,Smackover oilfiled brine 198,"Arkansas, USA",0.028,2.28,20.5,0.5,22.4,0.158,43.3,81.42857142857142,89.389
Oil field brine,Smackover oilfiled brine 199,"Arkansas, USA",0.277,2.12,63.0,3.02,39.8,0.184,201.5,7.653429602888086,318.301
Oil field brine,Smackover oilfiled brine 200,"Arkansas, USA",0.241,3.62,84.4,5.79,39.2,0.189,198.2,15.020746887966808,340.04999999999995
Oil field brine,Smackover oilfiled brine 201,"Arkansas, USA",0.099,3.67,59.4,0.72,35.6,0.209,184.9,37.070707070707066,290.598
Oil field brine,Smackover oilfiled brine 202,"Arkansas, USA",0.007,5.24,68.9,1.31,32.2,0.246,174.6,748.5714285714286,288.863
Oil field brine,Smackover oilfiled brine 203,"Arkansas, USA",0.052,1.95,36.3,0.514,33.2,0.369,194.3,37.5,269.245
Oil field brine,Smackover oilfiled brine 218,"Arkansas, USA",0.003,0.257,5.0,0.188,6.82,0.0,21.2,85.66666666666667,33.741
Oil field brine,Smackover oilfiled brine 219,"Arkansas, USA",0.069,0.365,70.7,1.17,44.8,0.187,203.2,5.289855072463768,326.571
Oil field brine,Smackover oilfiled brine 220,"Arkansas, USA",0.1,0.389,87.4,1.09,33.4,0.15,171.6,3.89,296.38800000000003
Oil field brine,Smackover oilfiled brine 221,"Arkansas, USA",0.068,0.316,82.8,0.606,44.6,0.363,221.0,4.647058823529411,356.10299999999995
Oil field brine,Smackover oilfiled brine 222,"Arkansas, USA",0.08,1.3,59.9,0.908,32.0,0.013,179.2,16.25,277.591
Oil field brine,Smackover oilfiled brine 223,"Arkansas, USA",0.08,1.29,82.8,1.38,33.0,0.166,182.2,16.125,305.18600000000004
Oil field brine,Smackover oilfiled brine 224,"Texas, USA",0.404,2.73,69.3,6.39,28.3,0.123,170.7,6.757425742574257,282.817
Oil field brine,Smackover oilfiled brine 225,"Texas, USA",0.473,6.91,26.8,0.282,25.3,0.589,105.3,14.608879492600424,168.88299999999998
Oil field brine,Smackover oilfiled brine 226,"Texas, USA",0.505,4.51,75.4,7.43,26.9,0.202,192.0,8.93069306930693,312.697
Oil field brine,Smackover oilfiled brine 1,"Mississippi, USA",0.04164,3.50064,45.56618,6.256,37.29444,0.076848,153.10855,84.06916426512967,248.741158
Oil field brine,Smackover oilfiled brine 2,"Mississippi, USA",0.0694,1.65308,61.56721999999999,0.5474,40.34052,0.0,156.0509,23.81959654178674,265.23598000000004
Oil field brine,Smackover oilfiled brine 3,"Mississippi, USA",0.05552,2.09066,46.46278999999999,3.5972000000000004,29.07804,0.124878,145.84130000000002,37.65597982708933,230.193568
Oil field brine,Smackover oilfiled brine 4,"Alabama, USA",0.04858,1.3856699999999995,33.22055,4.5356000000000005,45.25032,0.105666,167.85575,28.52346644709756,255.987026
Oil field brine,Smackover oilfiled brine 5,"Alabama, USA",0.04164,1.738165,62.32589,2.2678000000000003,33.667199999999994,0.124878,153.25035,41.7426753121998,256.670983
Oil field brine,Smackover oilfiled brine 6,"Alabama, USA",0.04164,3.439865,78.55683,0.0,33.847559999999994,0.134484,157.07895000000002,82.6096301633045,276.137849
Oil field brine,Smackover oilfiled brine 7,"Alabama, USA",0.04858,1.40998,61.68217,6.5688,33.52692,0.062439,166.11870000000002,29.02387813915191,273.03856900000005
Oil field brine,Smackover oilfiled brine 8,"Texas, USA",0.09022,2.69841,23.40382,2.6588000000000003,8.416799999999999,0.04803,65.83065,29.909221902017293,105.60279
Oil field brine,Smackover oilfiled brine 9,"Arkansas, USA",0.06246,2.102815,48.48591,1.564,36.272400000000005,0.345816,153.99480000000003,33.66658661543388,247.892591
Oil field brine,Smackover oilfiled brine 10,"Arkansas, USA",0.02776,2.96582,41.33602,0.4301,21.70332,0.374634,130.70415,106.8378962536023,202.224834
Oil field brine,Smackover oilfiled brine 11,"Arkansas, USA",0.02082,2.807805,58.87739,0.6256,20.2404,0.345816,146.2667,134.86095100864551,233.635581
Oil field brine,Smackover oilfiled brine 12,"Arkansas, USA",0.01388,2.33376,41.63489,0.4692,15.99192,0.196923,106.7045,168.13832853025934,169.716213
Oil field brine,Smackover oilfiled brine 28,"Arkansas, USA",0.00694,3.30616,65.72840999999998,0.0,24.1482,0.139287,130.70415,476.39193083573485,228.754777
Oil field brine,Smackover oilfiled brine 29,"Arkansas, USA",0.02082,2.52824,37.54267,0.2346,17.75544,0.273771,102.84045000000002,121.43323727185395,165.07751100000002
Oil field brine,Smackover oilfiled brine 30,"Arkansas, USA",0.02082,2.759185,51.47460999999999,0.6647000000000001,21.76344,0.283377,114.9998,132.52569644572526,195.558732
Oil field brine,Smackover oilfiled brine 31,"Arkansas, USA",0.01388,1.87187,34.07118,0.2737,16.91376,0.292983,106.24365,134.86095100864551,165.50330300000002
Oil field brine,Smackover oilfiled brine 32,"Arkansas, USA",0.02082,2.28514,50.69295,0.6256,15.25044,0.278574,112.5892,109.75696445725262,184.157674
Oil field brine,Smackover oilfiled brine 33,"Arkansas, USA",0.04164,2.40669,47.95714,0.5474,22.82556,0.278574,115.4961,57.79755043227666,192.310814
Oil field brine,Smackover oilfiled brine 34,"Arkansas, USA",0.0347,1.36136,21.31173,0.1955,16.653239999999997,0.153696,56.7909,39.23227665706052,97.635166
Oil field brine,Smackover oilfiled brine 67,"Arkansas, USA",0.31924,3.123835,57.52098,5.2003,36.41268,0.513921,170.97535,9.785224282671344,280.316266
Oil field brine,Smackover oilfiled brine 140,"Arkansas, USA",0.36088,2.418845,57.95779,6.7643,37.074,0.470694,142.89895,6.7026296829971175,255.069109
Oil field brine,Smackover oilfiled brine 141,"Arkansas, USA",0.27066,1.50722,57.45201,4.848400000000001,38.11608,0.5187240000000001,178.52620000000002,5.568683957732949,288.67733400000003
Oil field brine,Smackover oilfiled brine 142,"Arkansas, USA",0.09022,0.2066349999999999,55.26796,0.1173,30.88164,0.172908,134.92270000000002,2.290345821325648,226.02260300000003
Oil field brine,Smackover oilfiled brine 143,"Arkansas, USA",0.09022,0.1215499999999999,17.65632,0.1955,1.76352,0.4899059999999999,29.9198,1.3472622478386167,50.77546600000001
Oil field brine,Smackover oilfiled brine 145,"Arkansas, USA",0.29148,3.439865,57.03818999999999,4.6138,40.94172,0.235347,171.01080000000002,11.80137573761493,283.39850200000006
Oil field brine,Smackover oilfiled brine 146,"Arkansas, USA",0.3123,2.84427,63.29147,5.6695,35.6712,0.259362,172.88965000000002,9.107492795389048,287.411972
Oil field brine,Smackover oilfiled brine 147,"Arkansas, USA",0.27066,3.342625,63.79724999999999,4.5747,35.23032,0.206529,171.32985,12.349903938520653,284.971014
Oil field brine,Smackover oilfiled brine 148,"Arkansas, USA",0.29148,2.661945,63.61333,4.7311000000000005,39.47879999999999,0.249756,169.3092,9.132513379991764,286.701561
Oil field brine,Smackover oilfiled brine 149,"Arkansas, USA",0.29842,2.734875,59.59007999999999,0.1955,35.3706,0.408255,177.71085,9.164516453320823,284.25941
Oil field brine,Smackover oilfiled brine 150,"Arkansas, USA",0.27066,2.321605,61.59021,4.3401000000000005,37.91568,0.6820259999999999,154.70380000000003,8.577569644572526,268.79044100000004
Oil field brine,Smackover oilfiled brine 151,"Arkansas, USA",0.32618,5.542679999999999,60.0039,4.301,35.75136,0.648405,162.7155,16.992703415292166,275.255475
Oil field brine,Smackover oilfiled brine 153,"Arkansas, USA",0.2776,1.811095,62.18795,5.708600000000001,36.91368,0.417861,176.8246,6.524117435158501,290.339816
Oil field brine,Smackover oilfiled brine 155,"Arkansas, USA",0.13186,3.45202,70.90115999999999,2.2287000000000003,35.39064,0.163302,168.9547,26.17943273168512,286.41820199999995
Oil field brine,Smackover oilfiled brine 156,"Arkansas, USA",0.22208,3.221075,62.25692,3.3235,35.2704,0.653208,163.95625,14.504120136887607,274.99359300000003
Oil field brine,Smackover oilfiled brine 157,"Arkansas, USA",0.2776,7.75489,62.60177,4.848400000000001,35.41068,0.4803,170.869,27.93548270893372,288.3714
Oil field brine,Smackover oilfiled brine 158,"Arkansas, USA",0.27066,5.63992,62.11897999999999,0.4301,40.56096,0.451482,174.13040000000004,20.83765609990394,289.574162
Oil field brine,Smackover oilfiled brine 159,"Arkansas, USA",0.347,2.9172,63.86621999999999,3.8709,36.71328,0.321801,162.60915000000003,8.406916426512968,276.890301
Oil field brine,Smackover oilfiled brine 160,"Arkansas, USA",0.36088,2.81996,59.24523,6.0605,36.59304,0.331407,164.98430000000002,7.814121037463978,277.19164700000005
Oil field brine,Smackover oilfiled brine 161,"Arkansas, USA",0.33312,2.11497,59.33718999999999,6.0605,36.59304,0.72045,185.3326,6.348973342939481,296.65942
Oil field brine,Smackover oilfiled brine 191,"Arkansas, USA",0.30536,0.303875,58.11872,4.5356000000000005,37.19424,0.6820259999999999,164.31075,0.9951368876080692,272.66956100000004
Oil field brine,Smackover oilfiled brine 192,"Arkansas, USA",0.29842,3.52495,60.16483,3.5972000000000004,36.13211999999999,0.225741,164.20440000000002,11.812043428724616,275.279031
Oil field brine,Smackover oilfiled brine 193,"Arkansas, USA",0.2776,3.221075,52.71607,5.083,37.93572,0.19212,169.48645000000002,11.603296109510085,275.780545
Oil field brine,Smackover oilfiled brine 194,"Arkansas, USA",0.3123,2.64979,53.86557,8.993,36.29243999999999,0.196923,162.5737,8.484758245276977,271.249673
Oil field brine,Smackover oilfiled brine 196,"Arkansas, USA",0.04164,3.91391,40.48539,1.0557,19.6392,0.14409,108.12250000000002,93.99399615754082,176.17558000000002
Oil field brine,Smackover oilfiled brine 197,"Arkansas, USA",0.05552,3.52495,37.42772,1.0557,23.46684,0.134484,129.60520000000002,63.48973342939481,197.574584
Oil field brine,Smackover oilfiled brine 198,"Arkansas, USA",0.02776,2.127125,19.21964,0.4692,21.02196,0.148893,40.51935,76.62554034582132,83.74525799999999
Oil field brine,Smackover oilfiled brine 199,"Arkansas, USA",0.22902,1.72601,51.31367999999999,2.4633000000000003,32.4648,0.148893,164.16895000000002,7.536503362151778,259.303263
Oil field brine,Smackover oilfiled brine 200,"Arkansas, USA",0.19432,2.96582,69.01598,4.7311000000000005,32.10408,0.153696,162.25465000000003,15.26255660765747,278.331966
Oil field brine,Smackover oilfiled brine 201,"Arkansas, USA",0.08328,3.0995249999999994,50.21016,1.4467,30.22032,0.177711,156.29905000000002,37.218119596541776,246.590906
Oil field brine,Smackover oilfiled brine 202,"Arkansas, USA",0.00694,4.387955,57.68191,1.0948,26.9538,0.206529,146.054,632.2701729106628,241.739044
Oil field brine,Smackover oilfiled brine 203,"Arkansas, USA",0.04858,1.75032,32.43889,0.4692,29.63916,0.331407,173.59865000000002,36.02964182791271,240.56223700000004
Oil field brine,Smackover oilfiled brine 219,"Arkansas, USA",0.05552,0.303875,57.95779,0.9775,3.94788,0.153696,166.22505,5.47325288184438,234.595191
Oil field brine,Smackover oilfiled brine 220,"Arkansas, USA",0.08328,0.328185,73.70593999999998,0.9384,2.84568,0.124878,144.67145000000002,3.940742074927954,224.630853
Oil field brine,Smackover oilfiled brine 221,"Arkansas, USA",0.05552,0.255255,67.49864,0.5083,3.76752,0.297786,180.01510000000002,4.59753242074928,257.580821
Oil field brine,Smackover oilfiled brine 222,"Arkansas, USA",0.0694,1.106105,51.15275,0.782,27.33456,0.297786,153.10855,15.938112391930837,237.436041
Oil field brine,Smackover oilfiled brine 223,"Arkansas, USA",0.0694,1.0817949999999998,69.52176,1.173,27.73536,0.139287,152.93130000000002,15.587824207492792,256.23679200000004
Oil field brine,Smackover oilfiled brine 224,"Texas, USA",0.33312,2.2486749999999995,57.2451,5.2785,23.36664,0.100863,145.59315000000004,6.7503452209414005,238.14271800000003
Oil field brine,Smackover oilfiled brine 225,"Texas, USA",0.43028,6.259825,24.20847,0.2737,22.86564,0.5331330000000001,95.25415,14.548259273031514,152.76316799999998
Oil field brine,Smackover oilfiled brine 226,"Texas, USA",0.4164,3.731585,62.3029,6.1387,22.2444,0.24015,158.60330000000002,8.96153938520653,258.424735
Oil field brine,Carboniferous  formation 1st,west Poland,0.00609,0.2582,5.976,9.135,2.623,1.291,22.6,42.397372742200325,42.9642
Oil field brine,Carboniferous  formation 3rd,west Poland,0.0427,1.267,31.201,5.931,18.667,2.301,89.12,29.67213114754098,156.4121
Oil field brine,Carboniferous  formation 5th,west Poland,0.05197,1.747,37.35,5.028,21.77,0.393,105.51,33.61554743121032,173.9568
Oil field brine,Carboniferous  formation 6th,west Poland,0.0717,2.127,46.475,3.898,30.156,2.054,135.235,29.665271966527197,225.8552
Oil field brine,Carboniferous  formation 7th,west Poland,0.07954,2.632,50.66,3.527,32.71,0.2258,145.29,33.09026904702037,237.9747
Oil field brine,Carboniferous  formation 10th,west Poland,0.0868,3.094,56.14,4.206,41.902,0.413,170.546,35.64516129032258,279.7102
Oil field brine,Carboniferous  formation 15th,west Poland,0.0812,2.538,53.229,3.055,36.172,2.087,165.0,31.25615763546798,268.4638
Oil field brine,Leduc Formation 1,"Alberta, Canada",0.14,2.0,61.0,3.9,22.8,0.224,145.0,14.285714285714285,238.03
Oil field brine,Leduc Formation 2,"Alberta, Canada",0.14,2.89,60.0,4.3,27.0,0.373,154.0,20.642857142857142,251.118
Oil field brine,Leduc Formation 3,"Alberta, Canada",0.13,1.61,43.2,7.5,18.0,0.389,117.0,12.384615384615383,191.63
Oil field brine,Swan Hills Formation 4,"Alberta, Canada",0.13,2.01,54.0,5.1,15.9,0.155,125.1,15.46153846153846,205.945
Oil field brine,Leduc Formation 5,"Alberta, Canada",0.12,0.979,42.4,5.0,27.5,0.239,123.7,8.158333333333333,203.703
Oil field brine,Leduc Formation 6,"Alberta, Canada",0.12,0.976,37.5,5.66,18.0,11.3,98.5,8.133333333333333,116.112
Oil field brine,Swan Hills Formation 7,"Alberta, Canada",0.118,2.25,69.6,4.6,24.37,0.213,147.4,19.06779661016949,251.387
Oil field brine,Swan Hills Formation 8,"Alberta, Canada",0.115,1.63,39.8,4.3,13.6,0.778,94.16,14.17391304347826,156.567
Oil field brine,Leduc Formation 9,"Alberta, Canada",0.1,1.59,50.2,7.6,17.6,0.12,11.9,15.9,199.729
Oil field brine,Leduc Formation 10,"Alberta, Canada",0.1,3.26,66.9,2.0,22.6,0.348,155.0,32.599999999999994,251.953
Oil field brine,Wolfcamp Shale—tight oil 1,USA,0.0258,0.222,38.101,0.388,1.463,0.363,63.052,8.604651162790697,105.408
Oil field brine,Wolfcamp Shale—tight oil3,USA,0.0285,0.384,45.095,0.902,2.762,0.649,75.37,13.473684210526317,123.227
Oil field brine,Cline shale—tight oil 1,USA,0.0195,0.0847,12.876,0.126,0.647,,19.75,4.343589743589743,36.79
Oil field brine,Cline shale—tight oil 3,USA,0.0273,0.329,25.207,0.212,2.451,,46.33,12.051282051282053,79.92
Oil field brine,Bakken—tight oil 1,USA,0.00732,0.667,57.9,2.598,7.142,0.305,116.399,91.12021857923496,194.559
Oil field brine,Bakken—tight oil 3,USA,0.0574,1.3356,91.7,5.305,17.0,0.7605,177.769,23.268292682926827,292.973
