Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
geothermal brine,Rittershoffen  geothermal well,Germany,0.19,0.138,28.451,3.789,7.2,0.22,59.9,0.7263157894736842,101.0
geothermal brine,Cronenbourg  geotherma lwell,Germany,0.21,0.126,31.5,4.03,4.81,0.48,62.0,0.6,104.0
geothermal brine,Bruchsal geothermal  well,Germany,0.159,0.301,35.127,3.113,7.363,0.267,73.566,1.893081761006289,121.0
geothermal brine,Bruchsal geothermal  well,Germany,0.166,0.434,38.1,2.2,7.74,0.387,75.2,2.614457831325301,125.0
geothermal brine,Bühl geothermal well,Germany,0.041,1.93,64.0,0.494,11.6,1.586,120.3,47.073170731707314,201.0
geothermal brine,Bühl geothermal well,Germany,0.0412,1.9,63.9,0.503,11.7,1.525,120.5,46.11650485436893,201.0
geothermal brine,Landau oil well,Germany,0.0105,0.0685,6.2,0.141,0.454,1.82,9.74,6.523809523809524,19.0
geothermal brine,Landau oil well,Germany,0.0069,0.0432,5.1,0.0709,0.227,2.46,6.53,6.260869565217392,15.1
geothermal brine,Landau oil well,Germany,0.019,0.32,16.1,0.287,1.58,0.142,29.9,16.842105263157894,49.0
geothermal brine,Landau oil well,Germany,0.0245,0.246,16.1,0.193,1.71,1.11,28.8,10.040816326530612,49.0
geothermal brine,Landau oil well,Germany,0.0202,0.244,16.4,0.295,1.74,0.764,28.2,12.07920792079208,48.0
geothermal brine,Landau oil well,Germany,0.023,0.438,23.0,0.286,2.97,0.484,44.0,19.043478260869566,72.0
geothermal brine,Landau oil well,Germany,0.0209,0.45,33.0,0.481,4.2,0.233,62.8,21.5311004784689,102.0
geothermal brine,Landau oil well,Germany,0.0294,0.572,31.3,0.368,4.4,0.697,56.7,19.45578231292517,95.0
geothermal brine,Landau oil well,Germany,0.0239,0.593,33.0,0.399,4.6,0.31,60.5,24.811715481171547,101.0
geothermal brine,Scheibenhart oil well,Germany,0.0397,1.18,48.0,0.504,6.5,0.462,87.5,29.72292191435768,145.0
geothermal brine,Scheibenhart oil well,Germany,0.0176,1.45,31.1,0.209,2.33,0.178,55.1,82.38636363636363,91.0
geothermal brine,Riehen geothermal  well,Germany,0.0045,0.162,4.4,0.155,0.719,2.73,6.375,36.00000000000001,15.6
geothermal brine,Eschau oil well,Germany,0.072,0.596,105.0,1.98,3.06,1.2,167.0,8.277777777777779,280.0
geothermal brine,Heilquelle Baden-Baden  thermal spring,Germany,0.008,0.00396,0.827,0.0867,0.122,0.14,1.48,0.495,2.9
Oil field brine,Qianjiang Formation 1,"Jianghan Basin, China",0.0342,0.11146,76.82639999999999,1.26054,0.7343999999999999,3.36282,127.554,3.25906432748538,211.00525527672
Oil field brine,Qianjiang Formation 2,"Jianghan Basin, China",0.0412,0.06458,117.8956,1.02932,0.33478,8.03874,185.7356,1.5674757281553398,314.04975324488004
Oil field brine,Qianjiang Formation 3,"Jianghan Basin, China",0.00756,0.02704,59.17999999999999,0.34468,0.18046,10.3566,91.8768,3.5767195767195767,162.56164799848
Oil field brine,Qianjiang Formation 4,"Jianghan Basin, China",0.055,0.09,102.98,0.72,0.48,8.77,154.93,1.6363636363636362,269.0
Oil field brine,Qianjiang Formation 5,"Jianghan Basin, China",0.02667,0.05,124.73,3.5,0.33,13.15,186.4,1.8747656542932127,328.7
Oil field brine,Qianjiang Formation 6,"Jianghan Basin, China",0.0190399999999999,0.0652,122.4988,0.6366799999999999,0.06808,32.6844,169.28879999999998,3.42436974789916,326.5805554055999
Oil field brine,Qianjiang Formation 7,"Jianghan Basin, China",0.03152,0.02422,108.8656,0.82238,0.13468,33.9732,142.9724,0.7684010152284263,287.91000609552
Oil field brine,Qianjiang Formation 8,"Jianghan Basin, China",0.02818,0.01998,108.01279999999998,0.82234,0.10244,33.048,137.8532,0.709013484740951,281.09275206216
Oil field brine,Qianjiang Formation 9,"Jianghan Basin, China",0.02052,0.05168,84.9904,0.6139600000000001,0.28434,27.6684,108.40999999999998,2.518518518518518,223.31071055344
Oil field brine,Qianjiang Formation 10,"Jianghan Basin, China",0.06126,0.0802,121.2232,1.31192,0.2375799999999999,13.374,192.6536,1.3091740124061375,329.85100576952
Oil field brine,Qianjiang Formation 11,"Jianghan Basin, China",0.03254,0.1804599999999999,87.124,0.5777,0.45582,6.0651600000000006,138.2904,5.54578979717271,233.33136970432
Oil field brine,Qianjiang Formation 12,"Jianghan Basin, China",0.0437399999999999,0.0909,90.1528,0.82048,0.40938,10.67562,142.47519999999997,2.0781893004115237,245.7075190144
Oil field brine,Qianjiang Formation 13,"Jianghan Basin, China",0.06,0.05,109.0,1.0,0.12,14.63,158.31,0.8333333333333334,284.0
Oil field brine,Qianjiang Formation 14,"Jianghan Basin, China",0.02962,0.07106,76.2628,0.6637000000000001,0.2673,8.04936,109.4784,2.399054692775152,196.0198285216
Oil field brine,Qianjiang Formation 15,"Jianghan Basin, China",0.06944,0.23032,91.0568,1.94,1.5477199999999998,1.33938,156.4148,3.316820276497696,253.54681193328
Oil field brine,Qianjiang Formation 16,"Jianghan Basin, China",0.0805,0.25598,101.846,4.034479999999999,3.32116,0.3948,172.0792,3.179875776397515,283.0548373768
Oil field brine,Qianjiang Formation 17,"Jianghan Basin, China",0.03632,0.15122,61.49640000000001,1.01864,0.98488,4.42896,102.2756,4.163546255506608,171.2937390144
Oil field brine,Qianjiang Formation 18,"Jianghan Basin, China",0.04432,0.15252,74.2332,1.1556399999999998,0.94284,4.81602,123.428,3.441335740072202,205.77109396512003
Oil field brine,Qianjiang Formation 19,"Jianghan Basin, China",0.04502,0.18006,75.916,1.21234,0.92178,5.45388,126.16400000000002,3.9995557529986674,210.74568426080003
